ID,:LABEL,accession,name,synonyms,description,taxid
P05067-11,Protein,A4_HUMAN,APP,"A4_HUMAN,APP,1AAP,1AMB,1AMC,1AML,1BA4,1BA6,1BJB,1BJC,1BRC,1CA0,1HZ3,1IYT,1MWP,1OWT,1QCM,1QWP,1QXC,1QYT,1TAW,1TKN,1UO7,1UO8,1UOA,1UOI,1X11,1Z0Q,1ZE7,1ZE9,1ZJD,2BEG,2BOM,2BP4,2FJZ,2FK1,2FK2,2FK3,2FKL,2FMA,2G47,2IPU,2LFM,2LLM,2LMN,2LMO,2LMP,2LMQ,2LNQ,2LOH,2LP1,2LZ3,2LZ4,2M4J,2M9R,2M9S,2MGT,2MJ1,2MPZ,2MVX,2MXU,2NAO,2OTK,2R0W,2WK3,2Y29,2Y2A,2Y3J,2Y3K,2Y3L,3AYU,3BAE,3BKJ,3DXC,3DXD,3DXE,3GCI,3IFL,3IFN,3IFO,3IFP,3JQ5,3JQL,3JTI,3KTM,3L33,3L81,3MOQ,3MXC,3MXY,3NYJ,3NYL,3OVJ,3OW9,3PZZ,3Q2X,3SV1,3U0T,3UMH,3UMI,3UMK,4HIX,4JFN,4M1C,4MDR,4MVI,4MVK,4MVL,4NGE,4OJF,4ONF,4ONG,4PQD,4PWQ,4XXD,5AEF,5AM8,5AMB,5BUO,5C67,5CSZ,5HOW,5HOX,5HOY,5KK3,5LFY,5LV0,5MY4,5MYO,5MYX,5ONP,5ONQ,5OQV,5TXD,5VOS,5VZY,5W3P,6CO3,6GFI,6ITU,6IYC,6NB9,6O4J,6OC9,6OIZ,6RHY,6SHS,6TI5,6TI6,6TI7,6WXM,9606.ENSP00000284981,CHEMBL2487,ENSG00000142192",,9606
Q2M3G0-1,Protein,ABCB5_HUMAN,ABCB5,"ABCB5_HUMAN,ABCB5,9606.ENSP00000384881,CHEMBL1772928,ENSG00000004846",,9606
Q96J66,Protein,ABCCB_HUMAN,ABCC11,"ABCCB_HUMAN,ABCC11,9606.ENSP00000378230,CHEMBL2073702,ENSG00000121270",,9606
P19652,Protein,A1AG2_HUMAN,ORM2,"A1AG2_HUMAN,ORM2,3APU,3APV,3APW,3APX,9606.ENSP00000394936,CHEMBL5958,ENSG00000228278",,9606
P12814-1,Protein,ACTN1_HUMAN,ACTN1,"ACTN1_HUMAN,ACTN1,2EYI,2EYN,2N8Y,2N8Z,9606.ENSP00000377941,ENSG00000072110",,9606
P46098,Protein,5HT3A_HUMAN,HTR3A,"5HT3A_HUMAN,HTR3A,9606.ENSP00000347754,CHEMBL1899,ENSG00000166736",,9606
P46098-5,Protein,5HT3A_HUMAN,HTR3A,"5HT3A_HUMAN,HTR3A,9606.ENSP00000347754,CHEMBL1899,ENSG00000166736",,9606
Q8IZY2-2,Protein,ABCA7_HUMAN,ABCA7,"ABCA7_HUMAN,ABCA7,9606.ENSP00000263094,ENSG00000064687",,9606
Q4W5N1,Protein,ABCAB_HUMAN,ABCA11P,"ABCAB_HUMAN,ABCA11P",,9606
O96019-1,Protein,ACL6A_HUMAN,ACTL6A,"ACL6A_HUMAN,ACTL6A,6LTJ,9606.ENSP00000397552,ENSG00000136518",,9606
